sender,receiver,created_at,text
namaikatikura,SikhForTruth,2021-10-30T10:59:05Z,"@SikhForTruth its more like #CBDC + #CCSS (#ChinaCreditScoringSystem) than #blockchain, but yes."
thenurse75,johnpavlovitz,2021-11-01T15:40:41Z,@johnpavlovitz @nazuzuwin Similar to their fear of #CommonCore. Knowledge terrifies them.
thenurse75,nazuzuwin,2021-11-01T15:40:41Z,@johnpavlovitz @nazuzuwin Similar to their fear of #CommonCore. Knowledge terrifies them.
mindfuldesserts,colorcodedworld,2021-11-01T03:22:54Z,"I LOVE being in the classroom with the students, but completing the @danielson_group questionnaire is burn out central.  
#danielsonframework #teacher #teachertwitter #administration #life #over #content #motivator #inspirer #education #commoncore https://t.co/vOEvx0aE5h"
mindfuldesserts,danielson_group,2021-11-01T03:22:54Z,"I LOVE being in the classroom with the students, but completing the @danielson_group questionnaire is burn out central.  
#danielsonframework #teacher #teachertwitter #administration #life #over #content #motivator #inspirer #education #commoncore https://t.co/vOEvx0aE5h"
mindfuldesserts,colorcodedworld,2021-11-01T03:22:29Z,"I LOVE being in the classroom with the students, but completing the @danielson_group questionnaire is burn out central.  
#danielsonframework #teacher #teachertwitter #administration #life #over #content #motivator #inspirer #education #commoncore https://t.co/fEO7VEDsfM"
mindfuldesserts,danielson_group,2021-11-01T03:22:29Z,"I LOVE being in the classroom with the students, but completing the @danielson_group questionnaire is burn out central.  
#danielsonframework #teacher #teachertwitter #administration #life #over #content #motivator #inspirer #education #commoncore https://t.co/fEO7VEDsfM"
mindfuldesserts,colorcodedworld,2021-11-01T03:22:38Z,"I LOVE being in the classroom with the students, but completing the @danielson_group questionnaire is burn out central.  
#danielsonframework #teacher #teachertwitter #administration #life #over #content #motivator #inspirer #education #commoncore https://t.co/DjT45PZOBq"
mindfuldesserts,danielson_group,2021-11-01T03:22:38Z,"I LOVE being in the classroom with the students, but completing the @danielson_group questionnaire is burn out central.  
#danielsonframework #teacher #teachertwitter #administration #life #over #content #motivator #inspirer #education #commoncore https://t.co/DjT45PZOBq"
colorcodedworld,danielson_group,2021-11-01T03:18:56Z,"I LOVE being in the classroom with the students, but completing the @danielson_group questionnaire is burn out central.  
#danielsonframework #teacher #teachertwitter #administration #life #over #content #motivator #inspirer #education #commoncore https://t.co/vOEvx0aE5h"
colorcodedworld,danielson_group,2021-11-01T03:18:37Z,"I LOVE being in the classroom with the students, but completing the @danielson_group questionnaire is burn out central.  
#danielsonframework #teacher #teachertwitter #administration #life #over #content #motivator #inspirer #education #commoncore https://t.co/DjT45PZOBq"
colorcodedworld,danielson_group,2021-11-01T03:18:07Z,"I LOVE being in the classroom with the students, but completing the @danielson_group questionnaire is burn out central.  
#danielsonframework #teacher #teachertwitter #administration #life #over #content #motivator #inspirer #education #commoncore https://t.co/fEO7VEDsfM"
